Sample,Timestamp,CPU_Usage(%),RAM_Usage(%),RAM_Used(MB)
1,2026-06-07 19:21:20,1.1,53.1,1577.82
2,2026-06-07 19:21:21,6.5,53.1,1577.82
3,2026-06-07 19:21:22,1.1,53.1,1577.82
4,2026-06-07 19:21:23,6.1,53.1,1577.82
5,2026-06-07 19:21:24,1.7,53.1,1577.82
6,2026-06-07 19:21:25,17.8,53.1,1577.8
7,2026-06-07 19:21:26,67.5,53.1,1577.76
8,2026-06-07 19:21:27,62.0,53.2,1579.04
9,2026-06-07 19:21:28,37.2,53.2,1579.9
10,2026-06-07 19:21:29,48.7,53.2,1580.11
11,2026-06-07 19:21:30,40.8,53.3,1581.3
12,2026-06-07 19:21:31,51.6,53.5,1587.43
13,2026-06-07 19:21:32,72.0,53.7,1593.93
14,2026-06-07 19:21:33,98.8,54.0,1604.17
15,2026-06-07 19:21:34,88.6,54.6,1621.21
16,2026-06-07 19:21:35,67.8,55.0,1631.95
17,2026-06-07 19:21:36,100.0,55.4,1645.58
18,2026-06-07 19:21:37,59.5,55.6,1649.6
19,2026-06-07 19:21:38,93.5,56.4,1674.57
20,2026-06-07 19:21:39,95.1,56.9,1688.84
21,2026-06-07 19:21:40,83.5,57.1,1695.15
22,2026-06-07 19:21:41,77.6,57.2,1697.7
23,2026-06-07 19:21:42,43.3,57.4,1702.83
24,2026-06-07 19:21:43,62.4,57.4,1703.76
25,2026-06-07 19:21:44,59.5,57.4,1704.17
26,2026-06-07 19:21:45,54.8,57.5,1706.32
27,2026-06-07 19:21:46,82.1,57.6,1709.89
28,2026-06-07 19:21:47,57.0,57.6,1710.53
29,2026-06-07 19:21:48,65.3,57.6,1710.68
30,2026-06-07 19:21:49,29.4,57.8,1714.82
31,2026-06-07 19:21:50,68.2,57.8,1714.96
32,2026-06-07 19:21:51,95.0,57.8,1716.25
33,2026-06-07 19:21:52,100.0,57.8,1717.35
34,2026-06-07 19:21:53,99.4,57.9,1720.12
35,2026-06-07 19:21:54,68.9,58.0,1722.41
36,2026-06-07 19:21:55,14.0,58.0,1722.64
37,2026-06-07 19:21:56,9.9,58.0,1722.62
38,2026-06-07 19:21:57,17.5,58.0,1722.83
39,2026-06-07 19:21:58,18.2,58.0,1722.79
40,2026-06-07 19:21:59,36.8,58.0,1722.75
41,2026-06-07 19:22:00,76.2,58.0,1722.68
42,2026-06-07 19:22:01,97.8,58.0,1722.77
43,2026-06-07 19:22:02,18.1,58.0,1722.65
44,2026-06-07 19:22:03,15.1,58.0,1722.63
45,2026-06-07 19:22:04,24.3,58.0,1722.62
46,2026-06-07 19:22:05,17.0,58.0,1722.59
47,2026-06-07 19:22:06,37.4,58.0,1722.57
48,2026-06-07 19:22:07,73.6,58.0,1722.5
49,2026-06-07 19:22:08,96.3,58.0,1722.58
50,2026-06-07 19:22:09,57.8,58.0,1722.45
51,2026-06-07 19:22:10,11.8,58.0,1722.66
52,2026-06-07 19:22:11,20.7,58.0,1722.86
53,2026-06-07 19:22:12,22.8,58.0,1722.84
54,2026-06-07 19:22:13,16.9,58.0,1722.82
55,2026-06-07 19:22:14,67.1,58.2,1726.69
56,2026-06-07 19:22:15,94.4,58.2,1726.81
57,2026-06-07 19:22:16,72.7,58.2,1727.12
58,2026-06-07 19:22:17,17.1,58.2,1727.3
59,2026-06-07 19:22:18,12.2,58.2,1727.29
60,2026-06-07 19:22:19,23.8,58.2,1728.25
61,2026-06-07 19:22:20,9.6,58.2,1728.24
62,2026-06-07 19:22:21,62.3,58.4,1732.37
63,2026-06-07 19:22:22,81.1,58.3,1731.2
64,2026-06-07 19:22:23,83.8,58.3,1731.03
65,2026-06-07 19:22:24,18.6,58.3,1730.5
66,2026-06-07 19:22:25,8.5,58.3,1730.38
67,2026-06-07 19:22:26,25.8,58.3,1732.06
68,2026-06-07 19:22:27,7.3,58.3,1732.02
69,2026-06-07 19:22:28,55.7,58.3,1732.0
70,2026-06-07 19:22:29,71.5,58.3,1730.68
71,2026-06-07 19:22:30,84.0,58.3,1731.52
72,2026-06-07 19:22:31,51.9,58.3,1730.69
73,2026-06-07 19:22:32,17.5,58.3,1730.8
74,2026-06-07 19:22:33,18.6,58.3,1730.99
75,2026-06-07 19:22:34,13.8,58.3,1730.97
76,2026-06-07 19:22:35,52.2,58.3,1730.73
77,2026-06-07 19:22:36,75.6,58.3,1730.9
78,2026-06-07 19:22:37,63.7,58.3,1731.26
79,2026-06-07 19:22:38,89.6,58.5,1735.45
80,2026-06-07 19:22:39,24.5,58.5,1735.33
81,2026-06-07 19:22:40,13.4,58.2,1728.16
82,2026-06-07 19:22:41,12.4,58.2,1728.38
83,2026-06-07 19:22:42,59.3,58.3,1730.26
84,2026-06-07 19:22:43,70.8,58.3,1730.41
85,2026-06-07 19:22:44,51.9,58.3,1730.31
86,2026-06-07 19:22:45,71.1,58.5,1735.39
87,2026-06-07 19:22:46,37.7,58.5,1736.2
88,2026-06-07 19:22:47,32.3,58.2,1728.22
89,2026-06-07 19:22:48,7.7,58.2,1728.2
90,2026-06-07 19:22:49,50.9,58.4,1732.61
91,2026-06-07 19:22:50,85.3,58.4,1732.52
92,2026-06-07 19:22:51,78.2,58.4,1732.4
93,2026-06-07 19:22:52,88.5,58.4,1732.83
94,2026-06-07 19:22:53,90.9,58.4,1733.41
95,2026-06-07 19:22:54,10.3,58.4,1733.36
96,2026-06-07 19:22:55,25.6,58.4,1733.31
97,2026-06-07 19:22:56,40.4,58.4,1733.29
98,2026-06-07 19:22:57,65.9,58.4,1733.45
99,2026-06-07 19:22:58,89.4,58.4,1733.39
100,2026-06-07 19:22:59,35.8,58.4,1733.27
101,2026-06-07 19:23:00,73.0,58.4,1733.48
102,2026-06-07 19:23:01,88.8,58.4,1733.29
103,2026-06-07 19:23:02,95.5,58.4,1734.36
104,2026-06-07 19:23:03,84.3,58.4,1734.17
105,2026-06-07 19:23:04,65.8,58.4,1734.11
106,2026-06-07 19:23:05,20.4,58.4,1733.96
107,2026-06-07 19:23:06,12.4,58.4,1733.96
108,2026-06-07 19:23:07,18.8,58.4,1733.91
109,2026-06-07 19:23:08,20.7,58.4,1734.11
110,2026-06-07 19:23:09,20.5,58.4,1734.3
111,2026-06-07 19:23:10,88.3,58.4,1734.5
112,2026-06-07 19:23:11,47.1,58.4,1734.61
113,2026-06-07 19:23:12,26.4,58.4,1734.5
114,2026-06-07 19:23:13,1.7,58.4,1734.46
115,2026-06-07 19:23:14,15.4,58.4,1734.45
116,2026-06-07 19:23:15,24.4,58.4,1734.4
117,2026-06-07 19:23:16,26.9,58.4,1734.38
118,2026-06-07 19:23:17,24.8,58.4,1734.38
119,2026-06-07 19:23:18,72.0,58.5,1735.2
120,2026-06-07 19:23:19,49.4,58.4,1735.12
121,2026-06-07 19:23:20,15.5,58.4,1735.08
122,2026-06-07 19:23:21,17.2,58.4,1734.99
123,2026-06-07 19:23:22,9.5,58.4,1734.89
124,2026-06-07 19:23:23,16.5,58.4,1734.87
125,2026-06-07 19:23:24,19.3,58.4,1734.85
126,2026-06-07 19:23:25,34.3,58.4,1734.75
127,2026-06-07 19:23:26,50.9,58.4,1734.92
128,2026-06-07 19:23:27,53.5,58.4,1734.75
129,2026-06-07 19:23:28,15.0,58.4,1734.71
130,2026-06-07 19:23:29,12.4,58.4,1734.7
131,2026-06-07 19:23:30,5.7,58.4,1734.7
132,2026-06-07 19:23:31,16.0,58.4,1734.65
133,2026-06-07 19:23:32,33.6,58.4,1734.54
134,2026-06-07 19:23:33,56.0,58.4,1734.41
135,2026-06-07 19:23:34,63.0,58.4,1734.35
136,2026-06-07 19:23:35,47.5,58.4,1734.47
137,2026-06-07 19:23:36,10.1,58.4,1734.46
138,2026-06-07 19:23:37,23.8,58.4,1734.41
139,2026-06-07 19:23:38,16.3,58.4,1734.38
140,2026-06-07 19:23:39,21.3,58.4,1734.38
141,2026-06-07 19:23:40,47.9,58.4,1734.28
142,2026-06-07 19:23:41,67.3,58.4,1734.18
143,2026-06-07 19:23:42,87.3,58.4,1734.09
144,2026-06-07 19:23:43,17.6,58.4,1734.05
145,2026-06-07 19:23:44,30.5,58.4,1734.01
146,2026-06-07 19:23:45,12.0,58.4,1733.97
147,2026-06-07 19:23:46,35.0,58.4,1733.9
148,2026-06-07 19:23:47,73.4,58.4,1733.77
149,2026-06-07 19:23:48,82.1,58.4,1733.61
150,2026-06-07 19:23:49,94.4,58.4,1733.7
151,2026-06-07 19:23:50,24.7,58.4,1733.61
152,2026-06-07 19:23:51,14.1,58.4,1733.6
153,2026-06-07 19:23:52,8.7,58.4,1733.59
154,2026-06-07 19:23:53,33.3,58.4,1733.55
155,2026-06-07 19:23:54,63.7,58.4,1733.48
156,2026-06-07 19:23:55,73.2,58.4,1733.32
157,2026-06-07 19:23:56,64.7,58.4,1733.49
158,2026-06-07 19:23:57,68.3,58.4,1733.41
159,2026-06-07 19:23:58,14.5,58.4,1733.6
160,2026-06-07 19:23:59,25.3,58.4,1733.55
161,2026-06-07 19:24:00,25.9,58.4,1733.53
162,2026-06-07 19:24:01,46.5,58.4,1733.46
163,2026-06-07 19:24:02,88.2,58.4,1734.62
164,2026-06-07 19:24:03,81.2,58.4,1734.52
165,2026-06-07 19:24:04,94.9,58.4,1734.61
166,2026-06-07 19:24:05,53.1,58.4,1735.01
167,2026-06-07 19:24:06,12.7,58.4,1734.98
168,2026-06-07 19:24:07,19.0,58.4,1734.96
169,2026-06-07 19:24:08,22.9,58.4,1735.16
170,2026-06-07 19:24:09,33.5,58.4,1735.1
171,2026-06-07 19:24:10,54.4,58.4,1734.98
172,2026-06-07 19:24:11,69.2,58.4,1734.88
173,2026-06-07 19:24:12,45.4,58.5,1735.26
174,2026-06-07 19:24:13,33.7,58.5,1735.21
175,2026-06-07 19:24:14,23.7,58.5,1735.64
