Sample,Timestamp,CPU_Usage(%),RAM_Usage(%),RAM_Used(MB)
1,2026-06-08 01:28:21,2.8,47.7,1866.1
2,2026-06-08 01:28:22,1.1,47.7,1866.1
3,2026-06-08 01:28:23,1.1,47.7,1866.1
4,2026-06-08 01:28:24,6.0,44.3,1732.88
5,2026-06-08 01:28:25,1.1,44.3,1732.87
6,2026-06-08 01:28:26,6.5,44.3,1732.87
7,2026-06-08 01:28:27,2.7,44.3,1732.87
8,2026-06-08 01:28:28,5.1,44.3,1732.87
9,2026-06-08 01:28:29,12.9,44.3,1732.87
10,2026-06-08 01:28:30,83.7,44.3,1733.2
11,2026-06-08 01:28:31,59.7,44.3,1734.41
12,2026-06-08 01:28:32,33.5,44.4,1734.97
13,2026-06-08 01:28:33,57.2,44.4,1735.14
14,2026-06-08 01:28:34,51.8,44.4,1735.66
15,2026-06-08 01:28:35,95.9,44.4,1737.04
16,2026-06-08 01:28:36,90.5,44.5,1741.08
17,2026-06-08 01:28:37,93.3,44.6,1745.95
18,2026-06-08 01:28:38,56.3,44.9,1756.32
19,2026-06-08 01:28:39,90.9,45.3,1770.78
20,2026-06-08 01:28:40,64.3,45.5,1780.61
21,2026-06-08 01:28:41,98.8,46.0,1798.42
22,2026-06-08 01:28:42,63.3,46.2,1806.5
23,2026-06-08 01:28:43,86.4,46.4,1814.76
24,2026-06-08 01:28:44,60.9,46.4,1815.93
25,2026-06-08 01:28:45,59.4,46.5,1820.54
26,2026-06-08 01:28:46,52.9,46.6,1821.27
27,2026-06-08 01:28:47,48.0,46.6,1822.7
28,2026-06-08 01:28:48,69.6,46.6,1824.12
29,2026-06-08 01:28:49,39.1,46.6,1824.09
30,2026-06-08 01:28:50,69.0,46.7,1825.76
31,2026-06-08 01:28:51,73.2,46.7,1825.74
32,2026-06-08 01:28:53,48.2,46.7,1826.18
33,2026-06-08 01:28:54,62.4,46.8,1830.59
34,2026-06-08 01:28:55,41.1,46.8,1830.54
35,2026-06-08 01:28:56,68.5,46.8,1831.99
36,2026-06-08 01:28:57,69.1,46.9,1832.91
37,2026-06-08 01:28:58,53.8,46.9,1833.1
38,2026-06-08 01:28:59,67.9,46.9,1835.77
39,2026-06-08 01:29:00,67.3,46.9,1835.72
40,2026-06-08 01:29:01,61.2,46.9,1835.7
41,2026-06-08 01:29:02,48.7,47.0,1839.11
42,2026-06-08 01:29:03,72.7,47.0,1839.33
43,2026-06-08 01:29:04,56.3,47.0,1839.49
44,2026-06-08 01:29:05,71.2,47.0,1839.46
45,2026-06-08 01:29:06,60.6,47.0,1839.61
46,2026-06-08 01:29:07,55.8,47.0,1839.59
47,2026-06-08 01:29:08,72.9,47.0,1839.54
48,2026-06-08 01:29:09,42.3,47.0,1839.51
49,2026-06-08 01:29:10,66.5,47.0,1839.49
50,2026-06-08 01:29:11,67.7,47.0,1839.67
51,2026-06-08 01:29:12,64.0,47.0,1839.63
52,2026-06-08 01:29:13,78.0,47.1,1841.81
53,2026-06-08 01:29:14,73.2,47.1,1841.98
54,2026-06-08 01:29:15,61.3,47.1,1841.92
55,2026-06-08 01:29:16,69.5,47.1,1841.89
56,2026-06-08 01:29:17,53.5,47.1,1841.89
57,2026-06-08 01:29:18,58.2,47.1,1842.05
58,2026-06-08 01:29:19,73.8,47.1,1842.28
59,2026-06-08 01:29:20,61.8,47.1,1842.23
60,2026-06-08 01:29:21,65.6,47.1,1842.42
61,2026-06-08 01:29:22,64.5,47.1,1842.39
62,2026-06-08 01:29:23,45.5,47.1,1842.36
63,2026-06-08 01:29:24,67.3,47.2,1844.79
64,2026-06-08 01:29:25,58.3,47.2,1844.96
65,2026-06-08 01:29:26,70.8,47.2,1846.42
66,2026-06-08 01:29:27,70.9,47.2,1846.37
67,2026-06-08 01:29:28,69.9,47.2,1846.32
68,2026-06-08 01:29:29,67.9,47.2,1846.3
69,2026-06-08 01:29:30,51.8,47.2,1846.27
70,2026-06-08 01:29:31,65.2,47.2,1846.27
71,2026-06-08 01:29:32,73.0,47.2,1846.2
72,2026-06-08 01:29:33,59.6,47.2,1846.39
73,2026-06-08 01:29:34,73.0,47.2,1846.32
74,2026-06-08 01:29:35,72.3,47.2,1846.3
75,2026-06-08 01:29:36,61.1,47.2,1846.48
76,2026-06-08 01:29:37,69.8,47.2,1846.44
77,2026-06-08 01:29:38,58.6,47.2,1846.41
78,2026-06-08 01:29:39,86.0,47.2,1846.35
79,2026-06-08 01:29:40,69.9,47.2,1846.51
80,2026-06-08 01:29:41,73.8,47.2,1846.48
81,2026-06-08 01:29:42,65.0,47.2,1846.45
82,2026-06-08 01:29:43,75.4,47.2,1846.42
83,2026-06-08 01:29:44,51.9,47.2,1846.59
84,2026-06-08 01:29:45,51.3,47.2,1846.57
85,2026-06-08 01:29:46,86.9,47.2,1846.5
86,2026-06-08 01:29:47,68.6,47.2,1846.47
